pH,m_OH-,m_H+,H+_umol_l,OH-_umol_l
0,1.61E-14,1.34E+00,1340000,1.61E-08
0.05,1.79E-14,1.20E+00,1200000,1.79E-08
0.1,1.99E-14,1.08E+00,1080000,1.99E-08
0.15,2.20E-14,9.67E-01,967000,0.000000022
0.2,2.44E-14,8.63E-01,863000,2.44E-08
0.25,2.70E-14,7.70E-01,770000,0.000000027
0.3,2.99E-14,6.85E-01,685000,2.99E-08
0.35,3.32E-14,6.09E-01,609000,3.32E-08
0.4,3.67E-14,5.41E-01,541000,3.67E-08
0.45,4.07E-14,4.80E-01,480000,4.07E-08
0.5,4.50E-14,4.25E-01,425000,0.000000045
0.55,4.99E-14,3.76E-01,376000,4.99E-08
0.6,5.52E-14,3.33E-01,333000,5.52E-08
0.65,6.12E-14,2.94E-01,294000,6.12E-08
0.7,6.78E-14,2.60E-01,260000,6.78E-08
0.75,7.51E-14,2.30E-01,230000,7.51E-08
0.8,8.33E-14,2.03E-01,203000,8.33E-08
0.85,9.23E-14,1.79E-01,179000,9.23E-08
0.9,1.02E-13,1.58E-01,158000,0.000000102
0.95,1.14E-13,1.40E-01,140000,0.000000114
1,1.26E-13,1.24E-01,124000,0.000000126
1.05,1.40E-13,1.09E-01,109000,0.00000014
1.1,1.56E-13,9.65E-02,96500,0.000000156
1.15,1.73E-13,8.53E-02,85300,0.000000173
1.2,1.92E-13,7.54E-02,75400,0.000000192
1.25,2.14E-13,6.66E-02,66600,0.000000214
1.3,2.38E-13,5.89E-02,58900,0.000000238
1.35,2.64E-13,5.21E-02,52100,0.000000264
1.4,2.94E-13,4.61E-02,46100,0.000000294
1.45,3.28E-13,4.08E-02,40800,0.000000328
1.5,3.65E-13,3.61E-02,36100,0.000000365
1.55,4.07E-13,3.20E-02,32000,0.000000407
1.6,4.53E-13,2.83E-02,28300,0.000000453
1.65,5.05E-13,2.51E-02,25100,0.000000505
1.7,5.63E-13,2.22E-02,22200,0.000000563
1.75,6.28E-13,1.97E-02,19700,0.000000628
1.8,7.01E-13,1.75E-02,17500,0.000000701
1.85,7.83E-13,1.55E-02,15500,0.000000783
1.9,8.74E-13,1.37E-02,13700,0.000000874
1.95,9.76E-13,1.22E-02,12200,0.000000976
2,1.09E-12,1.08E-02,10800,0.00000109
2.05,1.22E-12,9.60E-03,9600,0.00000122
2.1,1.36E-12,8.52E-03,8520,0.00000136
2.15,1.52E-12,7.57E-03,7570,0.00000152
2.2,1.70E-12,6.72E-03,6720,0.0000017
2.25,1.90E-12,5.97E-03,5970,0.0000019
2.3,2.13E-12,5.30E-03,5300,0.00000213
2.35,2.38E-12,4.71E-03,4710,0.00000238
2.4,2.66E-12,4.19E-03,4190,0.00000266
2.45,2.98E-12,3.72E-03,3720,0.00000298
2.5,3.33E-12,3.31E-03,3310,0.00000333
2.55,3.73E-12,2.94E-03,2940,0.00000373
2.6,4.18E-12,2.62E-03,2620,0.00000418
2.65,4.67E-12,2.33E-03,2330,0.00000467
2.7,5.23E-12,2.07E-03,2070,0.00000523
2.75,5.86E-12,1.84E-03,1840,0.00000586
2.8,6.56E-12,1.64E-03,1640,0.00000656
2.85,7.35E-12,1.46E-03,1460,0.00000735
2.9,8.23E-12,1.30E-03,1300,0.00000823
2.95,9.22E-12,1.15E-03,1150,0.00000922
3,1.03E-11,1.03E-03,1030,0.0000103
3.05,1.16E-11,9.13E-04,913,0.0000116
3.1,1.30E-11,8.13E-04,813,0.000013
3.15,1.45E-11,7.24E-04,724,0.0000145
3.2,1.63E-11,6.44E-04,644,0.0000163
3.25,1.83E-11,5.73E-04,573,0.0000183
3.3,2.05E-11,5.10E-04,510,0.0000205
3.35,2.29E-11,4.55E-04,455,0.0000229
3.4,2.57E-11,4.05E-04,405,0.0000257
3.45,2.88E-11,3.60E-04,360,0.0000288
3.5,3.23E-11,3.21E-04,321,0.0000323
3.55,3.62E-11,2.86E-04,286,0.0000362
3.6,4.06E-11,2.54E-04,254,0.0000406
3.65,4.55E-11,2.27E-04,227,0.0000455
3.7,5.11E-11,2.02E-04,202,0.0000511
3.75,5.73E-11,1.80E-04,180,0.0000573
3.8,6.42E-11,1.60E-04,160,0.0000642
3.85,7.20E-11,1.43E-04,143,0.000072
3.9,8.07E-11,1.27E-04,127,0.0000807
3.95,9.05E-11,1.13E-04,113,0.0000905
4,1.02E-10,1.01E-04,101,0.000102
4.05,1.14E-10,8.98E-05,89.8,0.000114
4.1,1.28E-10,8.00E-05,80,0.000128
4.15,1.43E-10,7.13E-05,71.3,0.000143
4.2,1.61E-10,6.35E-05,63.5,0.000161
4.25,1.80E-10,5.66E-05,56.6,0.00018
4.3,2.02E-10,5.04E-05,50.4,0.000202
4.35,2.27E-10,4.49E-05,44.9,0.000227
4.4,2.54E-10,4.00E-05,40,0.000254
4.45,2.85E-10,3.57E-05,35.7,0.000285
4.5,3.20E-10,3.18E-05,31.8,0.00032
4.55,3.59E-10,2.83E-05,28.3,0.000359
4.6,4.03E-10,2.52E-05,25.2,0.000403
4.65,4.52E-10,2.25E-05,22.5,0.000452
4.7,5.07E-10,2.00E-05,20,0.000507
4.75,5.68E-10,1.78E-05,17.8,0.000568
4.8,6.37E-10,1.59E-05,15.9,0.000637
4.85,7.15E-10,1.42E-05,14.2,0.000715
4.9,8.02E-10,1.26E-05,12.6,0.000802
4.95,9.00E-10,1.13E-05,11.3,0.0009
5,1.01E-09,1.00E-05,10,0.00101
5.05,1.13E-09,8.93E-06,8.93,0.00113
5.1,1.27E-09,7.96E-06,7.96,0.00127
5.15,1.43E-09,7.10E-06,7.1,0.00143
5.2,1.60E-09,6.32E-06,6.32,0.0016
5.25,1.79E-09,5.63E-06,5.63,0.00179
5.3,2.01E-09,5.02E-06,5.02,0.00201
5.35,2.26E-09,4.47E-06,4.47,0.00226
5.4,2.53E-09,3.99E-06,3.99,0.00253
5.45,2.84E-09,3.55E-06,3.55,0.00284
5.5,3.19E-09,3.17E-06,3.17,0.00319
5.55,3.58E-09,2.82E-06,2.82,0.00358
5.6,4.01E-09,2.52E-06,2.52,0.00401
5.65,4.50E-09,2.24E-06,2.24,0.0045
5.7,5.05E-09,2.00E-06,2,0.00505
5.75,5.67E-09,1.78E-06,1.78,0.00567
5.8,6.36E-09,1.59E-06,1.59,0.00636
5.85,7.14E-09,1.41E-06,1.41,0.00714
5.9,8.01E-09,1.26E-06,1.26,0.00801
5.95,8.98E-09,1.12E-06,1.12,0.00898
6,1.01E-08,1.00E-06,1,0.0101
6.05,1.13E-08,8.92E-07,0.892,0.0113
6.1,1.27E-08,7.95E-07,0.795,0.0127
6.15,1.42E-08,7.08E-07,0.708,0.0142
6.2,1.60E-08,6.31E-07,0.631,0.016
6.25,1.79E-08,5.63E-07,0.563,0.0179
6.3,2.01E-08,5.02E-07,0.502,0.0201
6.35,2.26E-08,4.47E-07,0.447,0.0226
6.4,2.53E-08,3.98E-07,0.398,0.0253
6.45,2.84E-08,3.55E-07,0.355,0.0284
6.5,3.19E-08,3.16E-07,0.316,0.0319
6.55,3.58E-08,2.82E-07,0.282,0.0358
6.6,4.01E-08,2.51E-07,0.251,0.0401
6.65,4.50E-08,2.24E-07,0.224,0.045
6.7,5.05E-08,2.00E-07,0.2,0.0505
6.75,5.67E-08,1.78E-07,0.178,0.0567
6.8,6.36E-08,1.59E-07,0.159,0.0636
6.85,7.13E-08,1.41E-07,0.141,0.0713
6.9,8.00E-08,1.26E-07,0.126,0.08
6.95,8.98E-08,1.12E-07,0.112,0.0898
7,1.01E-07,1.00E-07,0.1,0.101
7.05,1.13E-07,8.92E-08,0.0892,0.113
7.1,1.27E-07,7.95E-08,0.0795,0.127
7.15,1.42E-07,7.08E-08,0.0708,0.142
7.2,1.60E-07,6.31E-08,0.0631,0.16
7.25,1.79E-07,5.63E-08,0.0563,0.179
7.3,2.01E-07,5.01E-08,0.0501,0.201
7.35,2.26E-07,4.47E-08,0.0447,0.226
7.4,2.53E-07,3.98E-08,0.0398,0.253
7.45,2.84E-07,3.55E-08,0.0355,0.284
7.5,3.19E-07,3.16E-08,0.0316,0.319
7.55,3.58E-07,2.82E-08,0.0282,0.358
7.6,4.01E-07,2.51E-08,0.0251,0.401
7.65,4.50E-07,2.24E-08,0.0224,0.45
7.7,5.05E-07,2.00E-08,0.02,0.505
7.75,5.67E-07,1.78E-08,0.0178,0.567
7.8,6.36E-07,1.59E-08,0.0159,0.636
7.85,7.13E-07,1.41E-08,0.0141,0.713
7.9,8.00E-07,1.26E-08,0.0126,0.8
7.95,8.98E-07,1.12E-08,0.0112,0.898
8,1.01E-06,1.00E-08,0.01,1.01
8.05,1.13E-06,8.92E-09,0.00892,1.13
8.1,1.27E-06,7.95E-09,0.00795,1.27
8.15,1.42E-06,7.09E-09,0.00709,1.42
8.2,1.60E-06,6.32E-09,0.00632,1.6
8.25,1.79E-06,5.63E-09,0.00563,1.79
8.3,2.01E-06,5.02E-09,0.00502,2.01
8.35,2.26E-06,4.47E-09,0.00447,2.26
8.4,2.53E-06,3.99E-09,0.00399,2.53
8.45,2.84E-06,3.55E-09,0.00355,2.84
8.5,3.19E-06,3.17E-09,0.00317,3.19
8.55,3.58E-06,2.82E-09,0.00282,3.58
8.6,4.02E-06,2.52E-09,0.00252,4.02
8.65,4.51E-06,2.24E-09,0.00224,4.51
8.7,5.06E-06,2.00E-09,0.002,5.06
8.75,5.67E-06,1.78E-09,0.00178,5.67
8.8,6.37E-06,1.59E-09,0.00159,6.37
8.85,7.14E-06,1.42E-09,0.00142,7.14
8.9,8.02E-06,1.26E-09,0.00126,8.02
8.95,9.00E-06,1.12E-09,0.00112,9
9,1.01E-05,1.00E-09,0.001,10.1
9.05,1.13E-05,8.94E-10,0.000894,11.3
9.1,1.27E-05,7.97E-10,0.000797,12.7
9.15,1.43E-05,7.10E-10,0.00071,14.3
9.2,1.60E-05,6.33E-10,0.000633,16
9.25,1.80E-05,5.64E-10,0.000564,18
9.3,2.02E-05,5.03E-10,0.000503,20.2
9.35,2.26E-05,4.48E-10,0.000448,22.6
9.4,2.54E-05,4.00E-10,0.0004,25.4
9.45,2.85E-05,3.56E-10,0.000356,28.5
9.5,3.20E-05,3.18E-10,0.000318,32
9.55,3.59E-05,2.83E-10,0.000283,35.9
9.6,4.03E-05,2.53E-10,0.000253,40.3
9.65,4.52E-05,2.25E-10,0.000225,45.2
9.7,5.08E-05,2.01E-10,0.000201,50.8
9.75,5.70E-05,1.79E-10,0.000179,57
9.8,6.40E-05,1.60E-10,0.00016,64
9.85,7.18E-05,1.42E-10,0.000142,71.8
9.9,8.06E-05,1.27E-10,0.000127,80.6
9.95,9.04E-05,1.13E-10,0.000113,90.4
10,1.02E-04,1.01E-10,0.000101,102
10.05,1.14E-04,8.99E-11,0.0000899,114
10.1,1.28E-04,8.02E-11,0.0000802,128
10.15,1.44E-04,7.15E-11,0.0000715,144
10.2,1.61E-04,6.38E-11,0.0000638,161
10.25,1.81E-04,5.69E-11,0.0000569,181
10.3,2.03E-04,5.07E-11,0.0000507,203
10.35,2.28E-04,4.52E-11,0.0000452,228
10.4,2.56E-04,4.03E-11,0.0000403,256
10.45,2.88E-04,3.60E-11,0.000036,288
10.5,3.23E-04,3.21E-11,0.0000321,323
10.55,3.63E-04,2.86E-11,0.0000286,363
10.6,4.08E-04,2.55E-11,0.0000255,408
10.65,4.58E-04,2.28E-11,0.0000228,458
10.7,5.14E-04,2.03E-11,0.0000203,514
10.75,5.77E-04,1.81E-11,0.0000181,577
10.8,6.49E-04,1.62E-11,0.0000162,649
10.85,7.29E-04,1.44E-11,0.0000144,729
10.9,8.19E-04,1.29E-11,0.0000129,819
10.95,9.20E-04,1.15E-11,0.0000115,920
11,1.03E-03,1.03E-11,0.0000103,1030
11.05,1.16E-03,9.16E-12,0.00000916,1160
11.1,1.31E-03,8.18E-12,0.00000818,1310
11.15,1.47E-03,7.30E-12,0.0000073,1470
11.2,1.65E-03,6.52E-12,0.00000652,1650
11.25,1.85E-03,5.82E-12,0.00000582,1850
11.3,2.08E-03,5.20E-12,0.0000052,2080
11.35,2.34E-03,4.64E-12,0.00000464,2340
11.4,2.63E-03,4.15E-12,0.00000415,2630
11.45,2.96E-03,3.70E-12,0.0000037,2960
11.5,3.33E-03,3.31E-12,0.00000331,3330
11.55,3.75E-03,2.96E-12,0.00000296,3750
11.6,4.22E-03,2.64E-12,0.00000264,4220
11.65,4.75E-03,2.36E-12,0.00000236,4750
11.7,5.34E-03,2.11E-12,0.00000211,5340
11.75,6.02E-03,1.89E-12,0.00000189,6020
11.8,6.77E-03,1.69E-12,0.00000169,6770
11.85,7.63E-03,1.51E-12,0.00000151,7630
11.9,8.59E-03,1.35E-12,0.00000135,8590
11.95,9.68E-03,1.21E-12,0.00000121,9680
12,1.09E-02,1.08E-12,0.00000108,10900
12.05,1.23E-02,9.69E-13,0.000000969,12300
12.1,1.39E-02,8.67E-13,0.000000867,13900
12.15,1.56E-02,7.77E-13,0.000000777,15600
12.2,1.76E-02,6.96E-13,0.000000696,17600
12.25,1.99E-02,6.23E-13,0.000000623,19900
12.3,2.24E-02,5.59E-13,0.000000559,22400
12.35,2.53E-02,5.01E-13,0.000000501,25300
12.4,2.86E-02,4.49E-13,0.000000449,28600
12.45,3.23E-02,4.03E-13,0.000000403,32300
12.5,3.65E-02,3.61E-13,0.000000361,36500
12.55,4.13E-02,3.24E-13,0.000000324,41300
12.6,4.67E-02,2.91E-13,0.000000291,46700
12.65,5.28E-02,2.61E-13,0.000000261,52800
12.7,5.97E-02,2.35E-13,0.000000235,59700
12.75,6.76E-02,2.11E-13,0.000000211,67600
12.8,7.65E-02,1.89E-13,0.000000189,76500
12.85,8.67E-02,1.70E-13,0.00000017,86700
12.9,9.83E-02,1.53E-13,0.000000153,98300
12.95,1.11E-01,1.38E-13,0.000000138,111000
13,1.26E-01,1.24E-13,0.000000124,126000
13.05,1.43E-01,1.11E-13,0.000000111,143000
13.1,1.63E-01,1.00E-13,0.0000001,163000
13.15,1.85E-01,9.01E-14,9.01E-08,185000
13.2,2.10E-01,8.10E-14,0.000000081,210000
13.25,2.38E-01,7.29E-14,7.29E-08,238000
13.3,2.71E-01,6.55E-14,6.55E-08,271000
13.35,3.08E-01,5.89E-14,5.89E-08,308000
13.4,3.50E-01,5.29E-14,5.29E-08,350000
13.45,3.99E-01,4.75E-14,4.75E-08,399000
13.5,4.54E-01,4.26E-14,4.26E-08,454000
13.55,5.16E-01,3.82E-14,3.82E-08,516000
13.6,5.87E-01,3.42E-14,3.42E-08,587000
13.65,6.69E-01,3.06E-14,3.06E-08,669000
13.7,7.61E-01,2.73E-14,2.73E-08,761000
13.75,8.66E-01,2.43E-14,2.43E-08,866000
13.8,9.86E-01,2.16E-14,2.16E-08,986000
13.85,1.12E+00,1.92E-14,1.92E-08,1120000
13.9,1.28E+00,1.69E-14,1.69E-08,1280000
13.95,1.45E+00,1.49E-14,1.49E-08,1450000
14,1.65E+00,1.31E-14,1.31E-08,1650000